,totalImperfection,ruleSpaceID,goodDesignsElim,impact,totalPerfection,numIncorrect,poorDesignsElim,totalDesignsElim,poorPerfection,poornessPercent,numCorrect,goodPerfection,goodnessPercent,poorEliminationPercent
final_PIn2_Rule_R,False,final_PIn2_Rule_R,0,0,True,1998,0,0,False,100,1998,False,100,
final_H2_S1_Rule_B,False,final_H2_S1_Rule_B,21,0,False,1998,21,42,False,98,1998,False,98,50
final_A1_Y_Rule_B,False,final_A1_Y_Rule_B,0,0,True,1998,0,0,False,100,1998,False,100,
final_B1_H1_Rule_I,False,final_B1_H1_Rule_I,0,0,True,1998,0,0,False,100,1998,False,100,
final_B2_H1_Rule_I,False,final_B2_H1_Rule_I,0,0,True,1998,0,0,False,100,1998,False,100,
final_B2_Y_Rule_I,False,final_B2_Y_Rule_I,0,0,True,1998,0,0,False,100,1998,False,100,
final_B1_P1_Rule_I,False,final_B1_P1_Rule_I,0,0,True,1998,0,0,False,100,1998,False,100,
final_PIn1_Rule_R,False,final_PIn1_Rule_R,0,0,True,1998,0,0,False,100,1998,False,100,
final_PIn2_Rule_NI,True,final_PIn2_Rule_NI,1998,0,False,1998,1998,3996,False,0,1998,False,0,50
final_A1_H1_Rule_I,False,final_A1_H1_Rule_I,0,0,True,1998,0,0,False,100,1998,False,100,
final_P1_P2_Rule_I,False,final_P1_P2_Rule_I,0,0,True,1998,0,0,False,100,1998,False,100,
final_PIn1_Rule_M,False,final_PIn1_Rule_M,0,0,True,1998,0,0,False,100,1998,False,100,
final_B1_Y_Rule_B,False,final_B1_Y_Rule_B,0,0,True,1998,0,0,False,100,1998,False,100,
final_S1_Y_Rule_B,False,final_S1_Y_Rule_B,0,0,True,1998,0,0,False,100,1998,False,100,
final_PS1_Rule_R,False,final_PS1_Rule_R,0,0,True,1998,0,0,False,100,1998,False,100,
final_A1_H2_Rule_I,False,final_A1_H2_Rule_I,0,0,True,1998,0,0,False,100,1998,False,100,
final_PH1_Rule_R,False,final_PH1_Rule_R,0,0,True,1998,0,0,False,100,1998,False,100,
final_PP1_Rule_R,False,final_PP1_Rule_R,0,0,True,1998,0,0,False,100,1998,False,100,
final_B2_Y_Rule_B,False,final_B2_Y_Rule_B,0,0,True,1998,0,0,False,100,1998,False,100,
final_S1_Y_Rule_I,False,final_S1_Y_Rule_I,0,0,True,1998,0,0,False,100,1998,False,100,
final_B1_S1_Rule_I,False,final_B1_S1_Rule_I,0,0,True,1998,0,0,False,100,1998,False,100,
final_P1_Rule_R,False,final_P1_Rule_R,143,1,False,1960,181,324,False,90,2036,False,92,55
final_A1_S1_Rule_B,False,final_A1_S1_Rule_B,10,1,False,1970,38,48,False,98,2026,False,99,79
final_H1_P1_Rule_O,False,final_H1_P1_Rule_O,90,1,False,1962,126,216,False,93,2034,False,95,58
final_H1_P1_Rule_B,False,final_H1_P1_Rule_B,48,1,False,1974,72,120,False,96,2022,False,97,60
final_B2_S1_Rule_B,False,final_B2_S1_Rule_B,22,2,False,1958,62,84,False,96,2038,False,98,73
final_B1_S1_Rule_B,False,final_B1_S1_Rule_B,20,2,False,1954,64,84,False,96,2042,False,98,76
final_A1_S1_Rule_O,False,final_A1_S1_Rule_O,14,2,False,1954,58,72,False,97,2042,False,99,80
final_B2_P1_Rule_B,False,final_B2_P1_Rule_B,91,2,False,1940,149,240,False,92,2056,False,95,62
final_P1_S1_Rule_B,False,final_P1_S1_Rule_B,18,2,False,1950,66,84,False,96,2046,False,99,78
final_A1_P1_Rule_B,False,final_A1_P1_Rule_B,52,3,False,1934,116,168,False,94,2062,False,97,69
final_P2_S1_Rule_B,False,final_P2_S1_Rule_B,12,3,False,1938,72,84,False,96,2058,False,99,85
final_B1_S1_Rule_O,False,final_B1_S1_Rule_O,36,3,False,1926,108,144,False,94,2070,False,98,75
final_B1_P1_Rule_B,False,final_B1_P1_Rule_B,83,3,False,1924,157,240,False,92,2072,False,95,65
final_B2_S1_Rule_O,False,final_B2_S1_Rule_O,38,3,False,1930,106,144,False,94,2066,False,98,73
final_P1_S1_Rule_O,False,final_P1_S1_Rule_O,32,4,False,1918,112,144,False,94,2078,False,98,77
final_H2_P1_Rule_T,False,final_H2_P1_Rule_T,955,5,False,1892,1061,2016,False,46,2104,False,52,52
